error_rate,continuation_probability,replicate,root_seed,trials,max_rounds,mean_match_length,settled_generation,n_survivors,cooperation_rate,mean_payoff,non_defector_share,share_Always_Cooperate,share_Always_Defect,share_Tit-for-Tat,share_Tit-for-Two-Tats,share_Two-Tits-for-Tat,share_Grim_Trigger,share_Generous_TFT,share_Contrite_TFT,share_Pavlov,share_Suspicious_TFT,share_Prober,share_Gradual,share_Soft_Majority,share_Random,share_Alternator,survivors
0.08,0.5,2,20260904,800,14,1.9973,8765,3,0.287501,1.789588,0.962027,0.000000,0.037973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.741755,0.000000,0.000000,0.000000,0.000000,0.220272,"Always Defect;Suspicious TFT;Alternator"
0.08,0.5,3,20260905,800,14,1.9926,1295,1,0.080210,1.234714,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.08,0.5,4,20260906,800,14,2.0016,1814,1,0.077592,1.227809,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.5,0,20260902,800,14,2.0026,767,1,0.102462,1.300000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.5,1,20260903,800,14,1.9999,717,1,0.106894,1.309298,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.5,2,20260904,800,14,1.9973,24896,3,0.299239,1.820018,0.984657,0.000000,0.015343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.780690,0.000000,0.000000,0.000000,0.000000,0.203967,"Always Defect;Suspicious TFT;Alternator"
0.1,0.5,3,20260905,800,14,1.9926,1112,1,0.100263,1.289612,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.1,0.5,4,20260906,800,14,2.0016,1128,1,0.103352,1.300745,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.5,0,20260902,800,14,2.0026,718,1,0.119077,1.346154,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.12,0.5,1,20260903,800,14,1.9999,655,1,0.129981,1.376028,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
