error_rate,continuation_probability,replicate,root_seed,trials,max_rounds,mean_match_length,settled_generation,n_survivors,cooperation_rate,mean_payoff,non_defector_share,share_Always_Cooperate,share_Always_Defect,share_Tit-for-Tat,share_Grim_Trigger,share_Random,share_Pavlov,share_Tit-for-Two-Tats,survivors
0.14,0.5,1,20260903,800,14,2.0032,148,1,0.144845,1.418090,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.5,2,20260904,800,14,2.0042,149,1,0.140759,1.394125,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.5,3,20260905,800,14,1.9888,165,1,0.136752,1.390533,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.14,0.5,4,20260906,800,14,1.9958,138,1,0.142768,1.410925,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.5,0,20260902,800,14,1.9974,150,1,0.153846,1.441846,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.5,1,20260903,800,14,2.0032,159,1,0.163188,1.466161,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.5,2,20260904,800,14,2.0042,159,1,0.159731,1.445532,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.5,3,20260905,800,14,1.9888,187,1,0.154504,1.437212,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.16,0.5,4,20260906,800,14,1.9958,150,1,0.161390,1.463066,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.18,0.5,0,20260902,800,14,1.9974,154,1,0.175692,1.500615,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.18,0.5,1,20260903,800,14,2.0032,179,1,0.181847,1.515813,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.18,0.5,2,20260904,800,14,2.0042,166,1,0.178703,1.493880,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.18,0.5,3,20260905,800,14,1.9888,198,1,0.175214,1.494083,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.18,0.5,4,20260906,800,14,1.9958,164,1,0.177529,1.505276,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.2,0.5,0,20260902,800,14,1.9974,167,1,0.193846,1.545231,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.2,0.5,1,20260903,800,14,2.0032,193,1,0.200506,1.565465,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.2,0.5,2,20260904,800,14,2.0042,174,1,0.195532,1.538862,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.2,0.5,3,20260905,800,14,1.9888,209,1,0.194938,1.546022,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.2,0.5,4,20260906,800,14,1.9958,168,1,0.197083,1.558349,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0,0.6,0,20260902,800,19,2.5033,129,1,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0,0.6,1,20260903,800,19,2.4905,127,1,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0,0.6,2,20260904,800,19,2.4914,127,1,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0,0.6,3,20260905,800,19,2.5029,127,1,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0,0.6,4,20260906,800,19,2.4911,125,1,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.6,0,20260902,800,19,2.5033,131,1,0.021355,1.063574,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.6,1,20260903,800,19,2.4905,137,1,0.020042,1.060127,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.6,2,20260904,800,19,2.4914,127,1,0.018555,1.055664,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.6,3,20260905,800,19,2.5029,131,1,0.020053,1.060158,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.02,0.6,4,20260906,800,19,2.4911,133,1,0.021029,1.062098,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.6,0,20260902,800,19,2.5033,136,1,0.043201,1.127639,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.6,1,20260903,800,19,2.4905,139,1,0.044040,1.131065,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
0.04,0.6,2,20260904,800,19,2.4914,131,1,0.040039,1.119141,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Always Defect"
