error_rate,continuation_probability,pool15,control7,difference
0.34,0.7,0.338315,0.338315,0.000000
0.34,0.8,0.338760,0.338760,0.000000
0.34,0.9,0.338085,0.338085,0.000000
0.34,0.95,0.347767,0.347767,-0.000000
0.34,0.98,0.345327,0.345327,-0.000000
0.34,0.99,0.342650,0.344486,-0.001836
0.35,0.5,0.347016,0.347016,0.000000
0.35,0.6,0.347573,0.347573,0.000000
0.35,0.7,0.347687,0.347687,0.000000
0.35,0.8,0.348087,0.348087,0.000000
0.35,0.9,0.347975,0.347975,0.000000
0.35,0.95,0.357342,0.357342,-0.000000
0.35,0.98,0.355057,0.355057,0.000000
0.35,0.99,0.354221,0.354221,0.000000
