generation,Always_Cooperate,Always_Defect,Tit-for-Tat,Grim_Trigger,Random,Pavlov,Tit-for-Two-Tats
71,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
72,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
73,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
74,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
75,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
76,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
77,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
78,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
79,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
80,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
81,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
82,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
83,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
84,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
85,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
86,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
87,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
88,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
89,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
90,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
91,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
92,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
93,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
94,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
95,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
96,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
97,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
98,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
99,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
100,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
101,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
102,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
103,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
104,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
105,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
106,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
107,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
108,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
109,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
110,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
111,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
112,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
113,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
114,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
115,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
116,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
117,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
118,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
119,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
120,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
121,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
122,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
123,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
124,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
125,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
126,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
127,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
128,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
129,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
130,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
131,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
132,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
133,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
134,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
135,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
136,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
137,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
138,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
139,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
140,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
141,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
142,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
143,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
144,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
145,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
146,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
147,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
148,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
149,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
150,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
151,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
152,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
153,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
154,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
155,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
156,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
157,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
158,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
159,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
160,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
161,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
162,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
163,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
164,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
165,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
166,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
167,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
168,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
169,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
170,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
171,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
172,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
173,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
174,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
175,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
176,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
177,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
178,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
179,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
180,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
181,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
182,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
183,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
184,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
185,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
186,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
187,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
188,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
189,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
190,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
191,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
192,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
193,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
194,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
195,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
196,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
197,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
198,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
199,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
200,0.13370687,0.00000000,0.21838189,0.26766310,0.00000000,0.18689007,0.19335807
