error_rate,continuation_probability,replicates,cooperation_rate_mean,cooperation_rate_min,cooperation_rate_max,bistable
0.28,0.9,5,0.278431,0.277164,0.279628,no
0.28,0.95,5,0.278949,0.278276,0.279628,no
0.28,0.98,5,0.627937,0.621964,0.633977,no
0.28,0.99,5,0.626936,0.624319,0.628868,no
0.3,0.5,5,0.299571,0.293296,0.304870,no
0.3,0.6,5,0.298908,0.291440,0.305013,no
0.3,0.7,5,0.297110,0.292976,0.301295,no
0.3,0.8,5,0.298481,0.289860,0.302969,no
0.3,0.9,5,0.298458,0.295834,0.301692,no
0.3,0.95,5,0.298736,0.297078,0.300441,no
0.3,0.98,5,0.433813,0.301048,0.616000,yes
0.3,0.99,5,0.551031,0.311553,0.613215,yes
0.32,0.5,5,0.318970,0.312849,0.324308,no
0.32,0.6,5,0.318230,0.311479,0.323024,no
0.32,0.7,5,0.316778,0.313494,0.324245,no
0.32,0.8,5,0.318116,0.310787,0.322471,no
0.32,0.9,5,0.317764,0.314744,0.320737,no
0.32,0.95,5,0.326616,0.315530,0.362905,no
0.32,0.98,5,0.331023,0.316725,0.341950,no
0.32,0.99,5,0.378407,0.318496,0.595546,no
0.34,0.5,5,0.338690,0.333954,0.345846,no
0.34,0.6,5,0.338805,0.332756,0.343799,no
0.34,0.7,5,0.338315,0.333830,0.345233,no
0.34,0.8,5,0.338760,0.330717,0.344992,no
0.34,0.9,5,0.338085,0.333834,0.341609,no
0.34,0.95,5,0.347767,0.335976,0.375564,no
0.34,0.98,5,0.345326,0.336217,0.359873,no
0.34,0.99,5,0.342650,0.336726,0.352799,no
0.35,0.5,5,0.347016,0.343575,0.354462,no
0.35,0.6,5,0.347573,0.343994,0.352770,no
0.35,0.7,5,0.347687,0.342586,0.354649,no
0.35,0.8,5,0.348087,0.341555,0.354051,no
0.35,0.9,5,0.347975,0.343739,0.351223,no
0.35,0.95,5,0.357342,0.345252,0.384533,no
0.35,0.98,5,0.355057,0.345569,0.370500,no
0.35,0.99,5,0.354221,0.347032,0.362042,no
